ñango	negative	0.0825	0.471
aéreo	negative	0.125	0.500
ñato	negative	0.4	1.200
abadejo	negative	0.125	0.500
abandonó	negative	0.25	0.816
abandonado	negative	0.25	0.816
abandonado	negative	0.75	0.000
abandonáis	negative	0.25	0.816
abandonéis	negative	0.25	0.816
abandonamos	negative	0.25	0.816
abandona	negative	0.25	0.816
abandoné	negative	0.25	0.816
abandonan	negative	0.25	0.816
abandonaríais	negative	0.25	0.816
abandonaríamos	negative	0.25	0.816
abandonaría	negative	0.25	0.816
abandonarían	negative	0.25	0.816
abandonarías	negative	0.25	0.816
abandonaréis	negative	0.25	0.816
abandonará	negative	0.25	0.816
abandonaré	negative	0.25	0.816
abandonarán	negative	0.25	0.816
abandonarás	negative	0.25	0.816
abandonareis	negative	0.25	0.816
abandonaremos	negative	0.25	0.816
abandonáremos	negative	0.25	0.816
abandonare	negative	0.25	0.816
abandonaren	negative	0.25	0.816
abandonares	negative	0.25	0.816
abandonar	negative	0.25	0.816
abandonaron	negative	0.25	0.816
abandonaseis	negative	0.25	0.816
abandonásemos	negative	0.25	0.816
abandonase	negative	0.25	0.816
abandonasen	negative	0.25	0.816
abandonases	negative	0.25	0.816
abandonas	negative	0.25	0.816
abandonasteis	negative	0.25	0.816
abandonaste	negative	0.25	0.816
abandonemos	negative	0.25	0.816
abandone	negative	0.25	0.816
abandonen	negative	0.25	0.816
abandones	negative	0.25	0.816
abandono	negative	0.25	0.816
abandono	negative	0.5825	0.471
abúlico	negative	0.8325	0.943
abarató	negative	0.35	1.497
abaratado	negative	0.35	1.497
abaratáis	negative	0.35	1.497
abaratéis	negative	0.35	1.497
abaratamos	negative	0.35	1.497
abarata	negative	0.35	1.497
abaraté	negative	0.35	1.497
abaratan	negative	0.35	1.497
abarataríais	negative	0.35	1.497
abarataríamos	negative	0.35	1.497
abarataría	negative	0.35	1.497
abaratarían	negative	0.35	1.497
abaratarías	negative	0.35	1.497
abarataréis	negative	0.35	1.497
abaratará	negative	0.35	1.497
abarataré	negative	0.35	1.497
abaratarán	negative	0.35	1.497
abaratarás	negative	0.35	1.497
abaratareis	negative	0.35	1.497
abarataremos	negative	0.35	1.497
abaratáremos	negative	0.35	1.497
abaratare	negative	0.35	1.497
abarataren	negative	0.35	1.497
abaratares	negative	0.35	1.497
abaratar	negative	0.35	1.497
abarataron	negative	0.35	1.497
abaratarse	negative	0.1675	0.471
abarataseis	negative	0.35	1.497
abaratásemos	negative	0.35	1.497
abaratase	negative	0.35	1.497
abaratasen	negative	0.35	1.497
abaratases	negative	0.35	1.497
abaratas	negative	0.35	1.497
abaratasteis	negative	0.35	1.497
abarataste	negative	0.35	1.497
abaratemos	negative	0.35	1.497
abarate	negative	0.35	1.497
abaraten	negative	0.35	1.497
abarates	negative	0.35	1.497
abarato	negative	0.35	1.497
abatido	negative	0.9175	0.471
abatimiento	negative	0.75	0.000
aberración	negative	0.45	1.600
abertura	negative	0.125	0.866
abigarrado	negative	0.45	1.327
abismal	negative	0.6675	0.471
abismático	negative	0.55	1.166
abismo	negative	0.5	0.000
ablandó	negative	0.5	0.816
ablandado	negative	0.5	0.816
ablandáis	negative	0.5	0.816
ablandéis	negative	0.5	0.816
ablandamos	negative	0.5	0.816
ablanda	negative	0.5	0.816
ablandé	negative	0.5	0.816
ablandan	negative	0.5	0.816
ablandaríais	negative	0.5	0.816
ablandaríamos	negative	0.5	0.816
ablandaría	negative	0.5	0.816
ablandarían	negative	0.5	0.816
ablandarías	negative	0.5	0.816
ablandaréis	negative	0.5	0.816
ablandará	negative	0.5	0.816
ablandaré	negative	0.5	0.816
ablandarán	negative	0.5	0.816
ablandarás	negative	0.5	0.816
ablandareis	negative	0.5	0.816
ablandaremos	negative	0.5	0.816
ablandáremos	negative	0.5	0.816
ablandare	negative	0.5	0.816
ablandaren	negative	0.5	0.816
ablandares	negative	0.5	0.816
ablandar	negative	0.5	0.816
ablandaron	negative	0.5	0.816
ablandaseis	negative	0.5	0.816
ablandásemos	negative	0.5	0.816
ablandase	negative	0.5	0.816
ablandasen	negative	0.5	0.816
ablandases	negative	0.5	0.816
ablandas	negative	0.5	0.816
ablandasteis	negative	0.5	0.816
ablandaste	negative	0.5	0.816
ablandemos	negative	0.5	0.816
ablande	negative	0.5	0.816
ablanden	negative	0.5	0.816
ablandes	negative	0.5	0.816
ablando	negative	0.5	0.816
abnegación	negative	0.875	0.500
abochornado	negative	0.9175	0.471
abofeteó	negative	0.2	1.166
abofeteado	negative	0.2	1.166
